"","X","newspaper","location","date1","year","full_text","date_original","full_state","state1","city1","full_state1","city","state","pubX","publication","black","Newspapers"
"462",462,"The freeman.","Indianapolis [Ind.]","April 06",1895,"The freeman. [volume] (Indianapolis [Ind.]), April 06, 1895, Image 6","April 06, 1895","Indiana",NA,"Indianapolis Ind",NA,"Indianapolis [Ind.]",NA,"the freeman","The Freeman","Y","The Freeman (Indianapolis [Ind.]) 1884-1927"
"463",463,"The freeman.","Indianapolis [Ind.]","April 13",1895,"The freeman. [volume] (Indianapolis [Ind.]), April 13, 1895, Image 1","April 13, 1895","Indiana",NA,"Indianapolis Ind",NA,"Indianapolis [Ind.]",NA,"the freeman","The Freeman","Y","The Freeman (Indianapolis [Ind.]) 1884-1927"
"464",464,"The Roanoke times.","Roanoke, Va.","June 13",1895,"The Roanoke times. [volume] (Roanoke, Va.), June 13, 1895, Image 1","June 13, 1895","Virginia","Va","Roanoke",NA,"Roanoke","Va.","the roanoke times",NA,"N",NA
"465",465,"The evening bulletin.","Maysville, Ky.","June 28",1895,"The evening bulletin. [volume] (Maysville, Ky.), June 28, 1895, Image 4","June 28, 1895","Kentucky","Ky","Maysville",NA,"Maysville","Ky.","the evening bulletin",NA,"N",NA
"466",466,"The Princeton union.","Princeton, Minn.","July 04",1895,"The Princeton union. [volume] (Princeton, Minn.), July 04, 1895, Image 3","July 04, 1895","Minnesota","Minn","Princeton",NA,"Princeton","Minn.","the princeton union",NA,"N",NA
"467",467,"The Topeka state journal.","Topeka, Kansas","June 13",1895,"The Topeka state journal. [volume] (Topeka, Kansas), June 13, 1895, NIGHT EDITION, Page 4, Image 4","June 13, 1895","Kansas","Kansas","Topeka","Kansas","Topeka","Kansas","the topeka state journal",NA,"N",NA
"468",468,"Rocky Ford enterprise.","Rocky Ford, Colo.","June 20",1895,"Rocky Ford enterprise. (Rocky Ford, Colo.), June 20, 1895, Image 1","June 20, 1895","Colorado","Colo","Rocky Ford",NA,"Rocky Ford","Colo.","rocky ford enterprise",NA,"N",NA
"469",469,"The Meeker herald.","Meeker, Colo.","June 22",1895,"The Meeker herald. [volume] (Meeker, Colo.), June 22, 1895, Image 3","June 22, 1895","Colorado","Colo","Meeker",NA,"Meeker","Colo.","the meeker herald",NA,"N",NA
"470",470,"The Delta independent.","Delta, Colo.","June 19",1895,"The Delta independent. [volume] (Delta, Colo.), June 19, 1895, Image 3","June 19, 1895","Colorado","Colo","Delta",NA,"Delta","Colo.","the delta independent",NA,"N",NA
"471",471,"Reporter and farmer.","Webster, Day County, Dakota [S.D.]","August 01",1895,"Reporter and farmer. [volume] (Webster, Day County, Dakota [S.D.]), August 01, 1895, Image 4","August 01, 1895","South Dakota","Day County","Webster",NA,"Webster","Day County","reporter and farmer",NA,"N",NA
"472",472,"San Antonio daily light.","San Antonio, Tex.","June 16",1895,"San Antonio daily light. [volume] (San Antonio, Tex.), June 16, 1895, Image 1","June 16, 1895","Texas","Tex","San Antonio",NA,"San Antonio","Tex.","san antonio daily light",NA,"N",NA
"473",473,"The American citizen.","Topeka, Kan.","June 14",1895,"The American citizen. [volume] (Topeka, Kan.), June 14, 1895, Image 3","June 14, 1895","Kansas","Kan","Topeka",NA,"Topeka","Kan.","the american citizen","The American Citizen","Y","The American Citizen (Topeka, Kan.) 1888-1909"
"474",474,"The freeman.","Indianapolis [Ind.]","June 22",1895,"The freeman. [volume] (Indianapolis [Ind.]), June 22, 1895, Image 7","June 22, 1895","Indiana",NA,"Indianapolis Ind",NA,"Indianapolis [Ind.]",NA,"the freeman","The Freeman","Y","The Freeman (Indianapolis [Ind.]) 1884-1927"
"475",475,"The freeman.","Indianapolis [Ind.]","March 30",1895,"The freeman. [volume] (Indianapolis [Ind.]), March 30, 1895, Image 4","March 30, 1895","Indiana",NA,"Indianapolis Ind",NA,"Indianapolis [Ind.]",NA,"the freeman","The Freeman","Y","The Freeman (Indianapolis [Ind.]) 1884-1927"
"476",476,"The freeman.","Indianapolis [Ind.]","January 19",1895,"The freeman. [volume] (Indianapolis [Ind.]), January 19, 1895, Image 3","January 19, 1895","Indiana",NA,"Indianapolis Ind",NA,"Indianapolis [Ind.]",NA,"the freeman","The Freeman","Y","The Freeman (Indianapolis [Ind.]) 1884-1927"
"477",477,"The morning news.","Savannah, Ga.","June 20",1895,"The morning news. [volume] (Savannah, Ga.), June 20, 1895, Page 4, Image 4","June 20, 1895","Georgia","Ga","Savannah",NA,"Savannah","Ga.","the morning news",NA,"N",NA
"478",478,"The gazette.","Cleveland, Ohio","March 02",1895,"The gazette. [volume] (Cleveland, Ohio), March 02, 1895, Page 2, Image 2","March 02, 1895","Ohio","Ohio","Cleveland",NA,"Cleveland","Ohio","the gazette","The Gazette","Y","The Gazette (Cleveland, Ohio) 1892-194?"
"479",479,"The morning call.","San Francisco [Calif.]","February 24",1895,"The morning call. [volume] (San Francisco [Calif.]), February 24, 1895, Page 7, Image 7","February 24, 1895","California",NA,"San Francisco Calif",NA,"San Francisco [Calif.]",NA,"the morning call",NA,"N",NA
"480",480,"Omaha daily bee.","Omaha [Neb.]","August 01",1895,"Omaha daily bee. (Omaha [Neb.]), August 01, 1895, Image 1","August 01, 1895","Nebraska",NA,"Omaha Neb","Nebraska","Omaha [Neb.]",NA,"omaha daily bee",NA,"N",NA
"481",481,"The Indianapolis journal.","Indianapolis [Ind.]","March 26",1895,"The Indianapolis journal. [volume] (Indianapolis [Ind.]), March 26, 1895, Page 4, Image 4","March 26, 1895","Indiana",NA,"Indianapolis Ind",NA,"Indianapolis [Ind.]",NA,"the indianapolis journal",NA,"N",NA
"482",482,"Evening star.","Washington, D.C.","August 01",1895,"Evening star. [volume] (Washington, D.C.), August 01, 1895, Page 9, Image 9","August 01, 1895","District of Columbia","DC","Washington",NA,"Washington","D.C.","evening star",NA,"N",NA
"483",483,"Springfield weekly Republican.","Springfield, Mass.","June 21",1895,"Springfield weekly Republican. [volume] (Springfield, Mass.), June 21, 1895, Page 5, Image 5","June 21, 1895","Massachusetts","Mass","Springfield",NA,"Springfield","Mass.","springfield weekly republican",NA,"N",NA
"484",484,"The morning news.","Savannah, Ga.","June 19",1895,"The morning news. [volume] (Savannah, Ga.), June 19, 1895, Image 1","June 19, 1895","Georgia","Ga","Savannah",NA,"Savannah","Ga.","the morning news",NA,"N",NA
"485",485,"The gazette.","Cleveland, Ohio","December 21",1895,"The gazette. [volume] (Cleveland, Ohio), December 21, 1895, Image 1","December 21, 1895","Ohio","Ohio","Cleveland",NA,"Cleveland","Ohio","the gazette","The Gazette","Y","The Gazette (Cleveland, Ohio) 1892-194?"
"486",486,"The Iola register.","Iola, Allen County, Kansas","June 21",1895,"The Iola register. [volume] (Iola, Allen County, Kansas), June 21, 1895, Image 6","June 21, 1895","Kansas","Allen County","Iola",NA,"Iola","Allen County","the iola register",NA,"N",NA
"487",487,"The Hartford republican.","Hartford, Ky.","March 15",1895,"The Hartford republican. (Hartford, Ky.), March 15, 1895, Image 3","March 15, 1895","Kentucky","Ky","Hartford",NA,"Hartford","Ky.","the hartford republican",NA,"N",NA
"488",488,"The San Francisco call.","San Francisco [Calif.]","June 15",1895,"The San Francisco call. [volume] (San Francisco [Calif.]), June 15, 1895, Page 2, Image 2","June 15, 1895","California",NA,"San Francisco Calif",NA,"San Francisco [Calif.]",NA,"the san francisco call",NA,"N",NA
"489",489,"The Mitchell capital.","Mitchell, Dakota [S.D.]","August 09",1895,"The Mitchell capital. (Mitchell, Dakota [S.D.]), August 09, 1895, Image 6","August 09, 1895","South Dakota","Dakota SD","Mitchell",NA,"Mitchell","Dakota [S.D.]","the mitchell capital",NA,"N",NA
"490",490,"The Seattle post-intelligencer.","Seattle, Wash. Terr. [Wash.]","June 25",1895,"The Seattle post-intelligencer. [volume] (Seattle, Wash. Terr. [Wash.]), June 25, 1895, Page 4, Image 4","June 25, 1895","Washington","Wash Terr Wash","Seattle",NA,"Seattle","Wash. Terr. [Wash.]","the seattle postintelligencer",NA,"N",NA
"491",491,"St. Paul daily globe.","Saint Paul, Minn.","August 06",1895,"St. Paul daily globe. [volume] (Saint Paul, Minn.), August 06, 1895, Image 1","August 06, 1895","Minnesota","Minn","Saint Paul",NA,"Saint Paul","Minn.","st paul daily globe",NA,"N",NA
"492",492,"Iowa state bystander.","Des Moines, Iowa","June 21",1895,"Iowa state bystander. [volume] (Des Moines, Iowa), June 21, 1895, Image 1","June 21, 1895","Iowa","Iowa","Des Moines",NA,"Des Moines","Iowa","iowa state bystander","Iowa State Bystander","Y","Iowa State Bystander (Des Moines, Iowa) 1894-1916"
"493",493,"Iowa state bystander.","Des Moines, Iowa","February 15",1895,"Iowa state bystander. [volume] (Des Moines, Iowa), February 15, 1895, Image 1","February 15, 1895","Iowa","Iowa","Des Moines",NA,"Des Moines","Iowa","iowa state bystander","Iowa State Bystander","Y","Iowa State Bystander (Des Moines, Iowa) 1894-1916"
"494",494,"The Saratoga sun.","Saratoga, Carbon County, Wyo.","June 20",1895,"The Saratoga sun. (Saratoga, Carbon County, Wyo.), June 20, 1895, Image 2","June 20, 1895","Wyoming","Carbon County","Saratoga",NA,"Saratoga","Carbon County","the saratoga sun",NA,"N",NA
"495",495,"The American citizen.","Topeka, Kan.","March 15",1895,"The American citizen. [volume] (Topeka, Kan.), March 15, 1895, Image 4","March 15, 1895","Kansas","Kan","Topeka",NA,"Topeka","Kan.","the american citizen","The American Citizen","Y","The American Citizen (Topeka, Kan.) 1888-1909"
"496",496,"The record-union.","Sacramento, Calif.","March 05",1895,"The record-union. [volume] (Sacramento, Calif.), March 05, 1895, Page 4, Image 4","March 05, 1895","California","Calif","Sacramento",NA,"Sacramento","Calif.","the recordunion",NA,"N",NA
"497",497,"The morning call.","San Francisco [Calif.]","March 03",1895,"The morning call. [volume] (San Francisco [Calif.]), March 03, 1895, Page 8, Image 8","March 03, 1895","California",NA,"San Francisco Calif",NA,"San Francisco [Calif.]",NA,"the morning call",NA,"N",NA
"498",498,"The Manning times.","Manning, Clarendon County, S.C.","April 17",1895,"The Manning times. [volume] (Manning, Clarendon County, S.C.), April 17, 1895, Image 1","April 17, 1895","South Carolina","Clarendon County","Manning","South Carolina","Manning","Clarendon County","the manning times",NA,"N",NA
"499",499,"The Marlboro democrat.","Bennettsville, S.C.","April 17",1895,"The Marlboro democrat. [volume] (Bennettsville, S.C.), April 17, 1895, Image 1","April 17, 1895","South Carolina","SC","Bennettsville",NA,"Bennettsville","S.C.","the marlboro democrat",NA,"N",NA
"500",500,"Kansas City daily journal.","Kansas City, Mo.","January 17",1895,"Kansas City daily journal. [volume] (Kansas City, Mo.), January 17, 1895, Page 4, Image 4","January 17, 1895","Kansas","Mo","Kansas City",NA,"Kansas City","Mo.","kansas city daily journal",NA,"N",NA
"501",501,"Barbour County index.","Medicine Lodge, Kan.","June 19",1895,"Barbour County index. [volume] (Medicine Lodge, Kan.), June 19, 1895, Image 4","June 19, 1895","Kansas","Kan","Medicine Lodge",NA,"Medicine Lodge","Kan.","barbour county index",NA,"N",NA
"502",502,"St. Paul daily globe.","Saint Paul, Minn.","June 13",1895,"St. Paul daily globe. [volume] (Saint Paul, Minn.), June 13, 1895, Page 6, Image 6","June 13, 1895","Minnesota","Minn","Saint Paul",NA,"Saint Paul","Minn.","st paul daily globe",NA,"N",NA
"503",503,"The Seattle post-intelligencer.","Seattle, Wash. Terr. [Wash.]","August 06",1895,"The Seattle post-intelligencer. [volume] (Seattle, Wash. Terr. [Wash.]), August 06, 1895, Page 2, Image 2","August 06, 1895","Washington","Wash Terr Wash","Seattle",NA,"Seattle","Wash. Terr. [Wash.]","the seattle postintelligencer",NA,"N",NA
"504",504,"The Dalles times-mountaineer.","The Dalles, Or.","January 19",1895,"The Dalles times-mountaineer. [volume] (The Dalles, Or.), January 19, 1895, Image 2","January 19, 1895","Oregon","Or","The Dalles",NA,"The Dalles","Or.","the dalles timesmountaineer",NA,"N",NA
"505",505,"The Indianapolis journal.","Indianapolis [Ind.]","June 21",1895,"The Indianapolis journal. [volume] (Indianapolis [Ind.]), June 21, 1895, Page 4, Image 4","June 21, 1895","Indiana",NA,"Indianapolis Ind",NA,"Indianapolis [Ind.]",NA,"the indianapolis journal",NA,"N",NA
"506",506,"The Indianapolis journal.","Indianapolis [Ind.]","July 30",1895,"The Indianapolis journal. [volume] (Indianapolis [Ind.]), July 30, 1895, Page 2, Image 2","July 30, 1895","Indiana",NA,"Indianapolis Ind",NA,"Indianapolis [Ind.]",NA,"the indianapolis journal",NA,"N",NA
"507",507,"Evening star.","Washington, D.C.","August 06",1895,"Evening star. [volume] (Washington, D.C.), August 06, 1895, Page 9, Image 9","August 06, 1895","District of Columbia","DC","Washington",NA,"Washington","D.C.","evening star",NA,"N",NA
"508",508,"The gazette.","Cleveland, Ohio","May 18",1895,"The gazette. [volume] (Cleveland, Ohio), May 18, 1895, Page 2, Image 2","May 18, 1895","Ohio","Ohio","Cleveland",NA,"Cleveland","Ohio","the gazette","The Gazette","Y","The Gazette (Cleveland, Ohio) 1892-194?"
"509",509,"The pioneer express.","Pembina, Dakota [N.D.]","July 05",1895,"The pioneer express. [volume] (Pembina, Dakota [N.D.]), July 05, 1895, Image 1","July 05, 1895","North Dakota","Dakota ND","Pembina",NA,"Pembina","Dakota [N.D.]","the pioneer express",NA,"N",NA
"510",510,"Red Lodge picket.","Red Lodge, Mont.","January 19",1895,"Red Lodge picket. [volume] (Red Lodge, Mont.), January 19, 1895, Image 1","January 19, 1895","Montana","Mont","Red Lodge",NA,"Red Lodge","Mont.","red lodge picket",NA,"N",NA
"511",511,"Chariton courier.","Keytesville, Chariton County, Mo.","July 05",1895,"Chariton courier. (Keytesville, Chariton County, Mo.), July 05, 1895, Image 4","July 05, 1895","Missouri","Chariton County","Keytesville",NA,"Keytesville","Chariton County","chariton courier",NA,"N",NA
"512",512,"Richmond planet.","Richmond, Va.","February 16",1895,"Richmond planet. [volume] (Richmond, Va.), February 16, 1895, Image 4","February 16, 1895","Virginia","Va","Richmond",NA,"Richmond","Va.","richmond planet","Richmond Planet","Y","Richmond Planet (Richmond, Va.) 1883-1938"
"513",513,"Richmond planet.","Richmond, Va.","February 23",1895,"Richmond planet. [volume] (Richmond, Va.), February 23, 1895, Image 4","February 23, 1895","Virginia","Va","Richmond",NA,"Richmond","Va.","richmond planet","Richmond Planet","Y","Richmond Planet (Richmond, Va.) 1883-1938"
"514",514,"Richmond planet.","Richmond, Va.","February 02",1895,"Richmond planet. [volume] (Richmond, Va.), February 02, 1895, Image 4","February 02, 1895","Virginia","Va","Richmond",NA,"Richmond","Va.","richmond planet","Richmond Planet","Y","Richmond Planet (Richmond, Va.) 1883-1938"
"515",515,"Richmond planet.","Richmond, Va.","February 09",1895,"Richmond planet. [volume] (Richmond, Va.), February 09, 1895, Image 4","February 09, 1895","Virginia","Va","Richmond",NA,"Richmond","Va.","richmond planet","Richmond Planet","Y","Richmond Planet (Richmond, Va.) 1883-1938"
"516",516,"Iowa state bystander.","Des Moines, Iowa","January 11",1895,"Iowa state bystander. [volume] (Des Moines, Iowa), January 11, 1895, Image 1","January 11, 1895","Iowa","Iowa","Des Moines",NA,"Des Moines","Iowa","iowa state bystander","Iowa State Bystander","Y","Iowa State Bystander (Des Moines, Iowa) 1894-1916"
"517",517,"Richmond planet.","Richmond, Va.","March 30",1895,"Richmond planet. [volume] (Richmond, Va.), March 30, 1895, Image 4","March 30, 1895","Virginia","Va","Richmond",NA,"Richmond","Va.","richmond planet","Richmond Planet","Y","Richmond Planet (Richmond, Va.) 1883-1938"
"518",518,"Richmond planet.","Richmond, Va.","April 27",1895,"Richmond planet. [volume] (Richmond, Va.), April 27, 1895, Image 4","April 27, 1895","Virginia","Va","Richmond",NA,"Richmond","Va.","richmond planet","Richmond Planet","Y","Richmond Planet (Richmond, Va.) 1883-1938"
"519",519,"Richmond planet.","Richmond, Va.","May 18",1895,"Richmond planet. [volume] (Richmond, Va.), May 18, 1895, Image 2","May 18, 1895","Virginia","Va","Richmond",NA,"Richmond","Va.","richmond planet","Richmond Planet","Y","Richmond Planet (Richmond, Va.) 1883-1938"
"520",520,"Richmond planet.","Richmond, Va.","June 01",1895,"Richmond planet. [volume] (Richmond, Va.), June 01, 1895, Image 2","June 01, 1895","Virginia","Va","Richmond",NA,"Richmond","Va.","richmond planet","Richmond Planet","Y","Richmond Planet (Richmond, Va.) 1883-1938"
"521",521,"Richmond planet.","Richmond, Va.","June 22",1895,"Richmond planet. [volume] (Richmond, Va.), June 22, 1895, Image 3","June 22, 1895","Virginia","Va","Richmond",NA,"Richmond","Va.","richmond planet","Richmond Planet","Y","Richmond Planet (Richmond, Va.) 1883-1938"
"522",522,"The freeman.","Indianapolis [Ind.]","February 09",1895,"The freeman. [volume] (Indianapolis [Ind.]), February 09, 1895, Image 1","February 09, 1895","Indiana",NA,"Indianapolis Ind",NA,"Indianapolis [Ind.]",NA,"the freeman","The Freeman","Y","The Freeman (Indianapolis [Ind.]) 1884-1927"
"523",523,"Pine Bluff daily graphic.","Pine Bluff, Ark.","July 15",1895,"Pine Bluff daily graphic. (Pine Bluff, Ark.), July 15, 1895, Image 3","July 15, 1895","Arkansas","Ark","Pine Bluff",NA,"Pine Bluff","Ark.","pine bluff daily graphic",NA,"N",NA
"524",524,"Richmond planet.","Richmond, Va.","June 29",1895,"Richmond planet. [volume] (Richmond, Va.), June 29, 1895, Image 3","June 29, 1895","Virginia","Va","Richmond",NA,"Richmond","Va.","richmond planet","Richmond Planet","Y","Richmond Planet (Richmond, Va.) 1883-1938"
"525",525,"The Jersey City news.","Jersey City [N.J.]","April 08",1895,"The Jersey City news. (Jersey City [N.J.]), April 08, 1895, LAST EDITION, Image 4","April 08, 1895","New Jersey",NA,"Jersey City NJ",NA,"Jersey City [N.J.]",NA,"the jersey city news",NA,"N",NA
"526",526,"The Salt Lake herald.","Salt Lake City [Utah]","August 06",1895,"The Salt Lake herald. [volume] (Salt Lake City [Utah]), August 06, 1895, Page 2, Image 2","August 06, 1895","Utah",NA,"Salt Lake City Utah",NA,"Salt Lake City [Utah]",NA,"the salt lake herald",NA,"N",NA
"527",527,"The freeman.","Indianapolis [Ind.]","December 05",1896,"The freeman. [volume] (Indianapolis [Ind.]), December 05, 1896, Image 1","December 05, 1896","Indiana",NA,"Indianapolis Ind",NA,"Indianapolis [Ind.]",NA,"the freeman","The Freeman","Y","The Freeman (Indianapolis [Ind.]) 1884-1927"
"528",528,"The freeman.","Indianapolis [Ind.]","March 21",1896,"The freeman. [volume] (Indianapolis [Ind.]), March 21, 1896, Image 8","March 21, 1896","Indiana",NA,"Indianapolis Ind",NA,"Indianapolis [Ind.]",NA,"the freeman","The Freeman","Y","The Freeman (Indianapolis [Ind.]) 1884-1927"
"529",529,"The Washington bee.","Washington, D.C.","August 01",1896,"The Washington bee. [volume] (Washington, D.C.), August 01, 1896, Page 4, Image 4","August 01, 1896","District of Columbia","DC","Washington",NA,"Washington","D.C.","the washington bee","The Washington Bee","Y","The Washington Bee (Washington, D.C.) 1884-1922"
"530",530,"Iowa state bystander.","Des Moines, Iowa","February 21",1896,"Iowa state bystander. [volume] (Des Moines, Iowa), February 21, 1896, Image 1","February 21, 1896","Iowa","Iowa","Des Moines",NA,"Des Moines","Iowa","iowa state bystander","Iowa State Bystander","Y","Iowa State Bystander (Des Moines, Iowa) 1894-1916"
"531",531,"Iowa state bystander.","Des Moines, Iowa","January 31",1896,"Iowa state bystander. [volume] (Des Moines, Iowa), January 31, 1896, Image 1","January 31, 1896","Iowa","Iowa","Des Moines",NA,"Des Moines","Iowa","iowa state bystander","Iowa State Bystander","Y","Iowa State Bystander (Des Moines, Iowa) 1894-1916"
"532",532,"The freeman.","Indianapolis [Ind.]","February 29",1896,"The freeman. [volume] (Indianapolis [Ind.]), February 29, 1896, Image 4","February 29, 1896","Indiana",NA,"Indianapolis Ind",NA,"Indianapolis [Ind.]",NA,"the freeman","The Freeman","Y","The Freeman (Indianapolis [Ind.]) 1884-1927"
"533",533,"Evening star.","Washington, D.C.","July 24",1896,"Evening star. [volume] (Washington, D.C.), July 24, 1896, Page 12, Image 12","July 24, 1896","District of Columbia","DC","Washington",NA,"Washington","D.C.","evening star",NA,"N",NA
"534",534,"Evening star.","Washington, D.C.","July 07",1896,"Evening star. [volume] (Washington, D.C.), July 07, 1896, Page 10, Image 10","July 07, 1896","District of Columbia","DC","Washington",NA,"Washington","D.C.","evening star",NA,"N",NA
"535",535,"Iowa state bystander.","Des Moines, Iowa","October 23",1896,"Iowa state bystander. [volume] (Des Moines, Iowa), October 23, 1896, Image 1","October 23, 1896","Iowa","Iowa","Des Moines",NA,"Des Moines","Iowa","iowa state bystander","Iowa State Bystander","Y","Iowa State Bystander (Des Moines, Iowa) 1894-1916"
"536",536,"The freeman.","Indianapolis [Ind.]","January 04",1896,"The freeman. [volume] (Indianapolis [Ind.]), January 04, 1896, Image 4","January 04, 1896","Indiana",NA,"Indianapolis Ind",NA,"Indianapolis [Ind.]",NA,"the freeman","The Freeman","Y","The Freeman (Indianapolis [Ind.]) 1884-1927"
"537",537,"Iowa state bystander.","Des Moines, Iowa","August 07",1896,"Iowa state bystander. [volume] (Des Moines, Iowa), August 07, 1896, Image 1","August 07, 1896","Iowa","Iowa","Des Moines",NA,"Des Moines","Iowa","iowa state bystander","Iowa State Bystander","Y","Iowa State Bystander (Des Moines, Iowa) 1894-1916"
"538",538,"The freeman.","Indianapolis [Ind.]","May 30",1896,"The freeman. [volume] (Indianapolis [Ind.]), May 30, 1896, Image 2","May 30, 1896","Indiana",NA,"Indianapolis Ind",NA,"Indianapolis [Ind.]",NA,"the freeman","The Freeman","Y","The Freeman (Indianapolis [Ind.]) 1884-1927"
"539",539,"The San Francisco call.","San Francisco [Calif.]","July 05",1896,"The San Francisco call. [volume] (San Francisco [Calif.]), July 05, 1896, Page 14, Image 14","July 05, 1896","California",NA,"San Francisco Calif",NA,"San Francisco [Calif.]",NA,"the san francisco call",NA,"N",NA
"540",540,"Evening star.","Washington, D.C.","July 22",1896,"Evening star. [volume] (Washington, D.C.), July 22, 1896, Page 3, Image 3","July 22, 1896","District of Columbia","DC","Washington",NA,"Washington","D.C.","evening star",NA,"N",NA
"541",541,"The new dominion.","Morgantown, W. Va.","March 28",1896,"The new dominion. [volume] (Morgantown, W. Va.), March 28, 1896, Image 3","March 28, 1896","Virginia","W Va","Morgantown",NA,"Morgantown","W. Va.","the new dominion",NA,"N",NA
"542",542,"The freeman.","Indianapolis [Ind.]","October 16",1897,"The freeman. [volume] (Indianapolis [Ind.]), October 16, 1897, Image 4","October 16, 1897","Indiana",NA,"Indianapolis Ind",NA,"Indianapolis [Ind.]",NA,"the freeman","The Freeman","Y","The Freeman (Indianapolis [Ind.]) 1884-1927"
"543",543,"The gazette.","Cleveland, Ohio","October 30",1897,"The gazette. [volume] (Cleveland, Ohio), October 30, 1897, Image 2","October 30, 1897","Ohio","Ohio","Cleveland",NA,"Cleveland","Ohio","the gazette","The Gazette","Y","The Gazette (Cleveland, Ohio) 1892-194?"
"544",544,"The freeman.","Indianapolis [Ind.]","October 30",1897,"The freeman. [volume] (Indianapolis [Ind.]), October 30, 1897, Image 5","October 30, 1897","Indiana",NA,"Indianapolis Ind",NA,"Indianapolis [Ind.]",NA,"the freeman","The Freeman","Y","The Freeman (Indianapolis [Ind.]) 1884-1927"
"545",545,"The gazette.","Cleveland, Ohio","October 23",1897,"The gazette. [volume] (Cleveland, Ohio), October 23, 1897, Image 1","October 23, 1897","Ohio","Ohio","Cleveland",NA,"Cleveland","Ohio","the gazette","The Gazette","Y","The Gazette (Cleveland, Ohio) 1892-194?"
"546",546,"The freeman.","Indianapolis [Ind.]","August 28",1897,"The freeman. [volume] (Indianapolis [Ind.]), August 28, 1897, Image 4","August 28, 1897","Indiana",NA,"Indianapolis Ind",NA,"Indianapolis [Ind.]",NA,"the freeman","The Freeman","Y","The Freeman (Indianapolis [Ind.]) 1884-1927"
"547",547,"The freeman.","Indianapolis [Ind.]","July 31",1897,"The freeman. [volume] (Indianapolis [Ind.]), July 31, 1897, Image 4","July 31, 1897","Indiana",NA,"Indianapolis Ind",NA,"Indianapolis [Ind.]",NA,"the freeman","The Freeman","Y","The Freeman (Indianapolis [Ind.]) 1884-1927"
"548",548,"The freeman.","Indianapolis [Ind.]","January 30",1897,"The freeman. [volume] (Indianapolis [Ind.]), January 30, 1897, Image 7","January 30, 1897","Indiana",NA,"Indianapolis Ind",NA,"Indianapolis [Ind.]",NA,"the freeman","The Freeman","Y","The Freeman (Indianapolis [Ind.]) 1884-1927"
"549",549,"The freeman.","Indianapolis [Ind.]","January 02",1897,"The freeman. [volume] (Indianapolis [Ind.]), January 02, 1897, Image 7","January 02, 1897","Indiana",NA,"Indianapolis Ind",NA,"Indianapolis [Ind.]",NA,"the freeman","The Freeman","Y","The Freeman (Indianapolis [Ind.]) 1884-1927"
"550",550,"The Brunswick times.","Brunswick, Ga.","December 21",1897,"The Brunswick times. [volume] (Brunswick, Ga.), December 21, 1897, Image 4","December 21, 1897","Georgia","Ga","Brunswick",NA,"Brunswick","Ga.","the brunswick times",NA,"N",NA
"551",551,"The gazette.","Cleveland, Ohio","September 25",1897,"The gazette. [volume] (Cleveland, Ohio), September 25, 1897, Image 1","September 25, 1897","Ohio","Ohio","Cleveland",NA,"Cleveland","Ohio","the gazette","The Gazette","Y","The Gazette (Cleveland, Ohio) 1892-194?"
"552",552,"The gazette.","Cleveland, Ohio","September 18",1897,"The gazette. [volume] (Cleveland, Ohio), September 18, 1897, Image 2","September 18, 1897","Ohio","Ohio","Cleveland",NA,"Cleveland","Ohio","the gazette","The Gazette","Y","The Gazette (Cleveland, Ohio) 1892-194?"
"553",553,"Iowa state bystander.","Des Moines, Iowa","October 22",1897,"Iowa state bystander. [volume] (Des Moines, Iowa), October 22, 1897, Image 4","October 22, 1897","Iowa","Iowa","Des Moines",NA,"Des Moines","Iowa","iowa state bystander","Iowa State Bystander","Y","Iowa State Bystander (Des Moines, Iowa) 1894-1916"
"554",554,"The gazette.","Cleveland, Ohio","December 04",1897,"The gazette. [volume] (Cleveland, Ohio), December 04, 1897, Image 2","December 04, 1897","Ohio","Ohio","Cleveland",NA,"Cleveland","Ohio","the gazette","The Gazette","Y","The Gazette (Cleveland, Ohio) 1892-194?"
"555",555,"The gazette.","Cleveland, Ohio","January 16",1897,"The gazette. [volume] (Cleveland, Ohio), January 16, 1897, Image 1","January 16, 1897","Ohio","Ohio","Cleveland",NA,"Cleveland","Ohio","the gazette","The Gazette","Y","The Gazette (Cleveland, Ohio) 1892-194?"
"556",556,"The American citizen.","Topeka, Kan.","March 12",1897,"The American citizen. [volume] (Topeka, Kan.), March 12, 1897, Image 2","March 12, 1897","Kansas","Kan","Topeka",NA,"Topeka","Kan.","the american citizen","The American Citizen","Y","The American Citizen (Topeka, Kan.) 1888-1909"
"557",557,"The freeman.","Indianapolis [Ind.]","May 08",1897,"The freeman. [volume] (Indianapolis [Ind.]), May 08, 1897, Image 4","May 08, 1897","Indiana",NA,"Indianapolis Ind",NA,"Indianapolis [Ind.]",NA,"the freeman","The Freeman","Y","The Freeman (Indianapolis [Ind.]) 1884-1927"
"558",558,"Washington standard.","Olympia, Wash. Territory","July 30",1897,"Washington standard. [volume] (Olympia, Wash. Territory), July 30, 1897, Image 2","July 30, 1897","Washington","Wash Territory","Olympia",NA,"Olympia","Wash. Territory","washington standard",NA,"N",NA
"559",559,"The freeman.","Indianapolis [Ind.]","October 30",1897,"The freeman. [volume] (Indianapolis [Ind.]), October 30, 1897, Image 4","October 30, 1897","Indiana",NA,"Indianapolis Ind",NA,"Indianapolis [Ind.]",NA,"the freeman","The Freeman","Y","The Freeman (Indianapolis [Ind.]) 1884-1927"
